sale_id,branch,sale_date,product_name,category,quantity,unit_price,discount_pct,payment_method,salesperson
50,uTtarA,2026-03-26,Onion 1kg,null,19,  ৳118.32 ,20%,cash,Sabbir Rahman
51,dhanmONdi,01-11-2026,Toothpaste,Groceries,17,325,15%,CASH,Karim Hossain
52,Motijheel,16/01/2026,Iron,Electronics,2,৳5180.12,20,card,Shafiq Ahmed
53,uttara ,01-23-2026,  Chili Powder 200g  ,Groceries,17,622,15,CASH,Sumaiya Sultana
54,Chattogram,2026-03-26,T-Shirt ,Clothing,18,"৳2,618.08",0.1,bkash,Nusrat Jahan
55,chAttoGrAM,2026-01-11,Milk Powder 500g,Groceries,2,৳767.78,0.05,BKASH,Arif Chowdhury
56,dhanmondi,03/01/2026,T-Shirt,Clothing,4,1825,25%,CARD,Shafiq Ahmed
57,motijheel,2026-01-20,Flour 2kg,Groceries,15,122,25,NAGAD,Arif Chowdhury
58,moTiJheel,03-15-2026,Lentil (Masoor) 1kg,n/a,13,৳293.59,15%,bkash,Lima Khatun
59,gUlShan,03/04/2026,Soyabean Oil 1L,Groceries,10,৳677.37,20%,Nagad,Rahim Uddin
60,mIrPur ,2026-03-20,Turmeric 200g ,N/A,5,92.24,0.05,CASH,Tanvir Hasan
61, motijheel,03-17-2026,Rice 5kg,Groceries,17,৳107.79,10,cash,
62, Chattogram,01-01-2026,Flour 2kg,Groceries,5,259.84,0.2,CASH,Karim Hossain
63,Mirpur ,2025-12-31,T-Shirt,Clothing,15,3315,25,bKash,Tanvir Hasan
64,motijheel,01/04/2026,Bath Soap,Groceries,14,৳1339.63,10%,Card,Nusrat Jahan
65,GUlShan,03-29-2026,Salt 1kg,Groceries,16,৳409.04,0,bkash,Nusrat Jahan
66,MIRPUR,21/01/2026,  Lentil (Masoor) 1kg,n/a,6,৳603,0.05,cash,
67,CHATTOGRAM ,04-19-2026,Rice 25kg,Groceries,18,"  ৳1,053.09 ",0.05,bkash,Nusrat Jahan
68,gulshan,01-11-2026,Socks Pair,Clothing,5,3845,10%,BKASH,Tanvir Hasan
69,MOTIJHEEL ,04-08-2026,Detergent 1kg,Groceries,20,৳96.40,20,bkash,Karim Hossain
70,CHATTOGRAM ,2026-03-14,Garlic 500g ,N/A,10,৳859.99,0,BKASH,Farhana Akter
71, MiRPur,22/03/2026,Socks Pair,Clothing,18,"৳2,326.70",15%,Cash,Mehedi Hasan
72,DhaNmonDi,03-18-2026,  Biscuit Pack,Groceries,17,1335,0.25,Nagad,Shafiq Ahmed
73,uttAra,02/04/2026,Tea 500g,Groceries,20,879.28,5,BKASH,Tanvir Hasan
74,DHANMONDI,18/02/2026,Mustard Oil 1L,Groceries,10,267.79,10,Card,Tanvir Hasan
75,Uttara,29/03/2026,Rice 25kg,Groceries,15,44,0.1,card,Sumaiya Sultana
76,Uttara,18/04/2026,Extension Cord,Electronics,19,"৳3,794.76",0.05,Cash,Sabbir Rahman
77,GULSHAN ,04-01-2026,T-Shirt ,Clothing,16,2004.20,0.2,Card,Shafiq Ahmed
78, Chattogram,2026-01-04,Rice 5kg,Groceries,7,598.34,0.05,nagad,Sumaiya Sultana
79,UTTARA ,01-26-2026,তেল ,Groceries,4,৳794.49,0.15,cash,Mehedi Hasan
80,Gulshan,02-14-2026,চিনি,Groceries,13,"  ৳1,375.27 ",10%,nagad,Shafiq Ahmed
81,Mirpur ,02/04/2026,Iron,Electronics,14,4177.80,0.1,Card,Farhana Akter
82,Uttara,27/03/2026,Tea 500g,Groceries,9,"৳1,064",10%,nagad,Lima Khatun
83,UttaRa,01-01-2026,  Shampoo 200ml,Groceries,10,৳250,0.05,CASH,Shafiq Ahmed
84,Mirpur ,01-21-2026,Sugar 1kg,Groceries,3,৳332.60,10,nagad,Arif Chowdhury
85,motijheel,22/02/2026,LED Bulb 9W,Electronics,18,5755,25,card,Farhana Akter
86,UTTARA ,03-30-2026,Rechargeable Fan,Electronics,15,৳192,0.2,Cash,Sabbir Rahman
87,MOTIJHEEL ,13/04/2026,লবণ,Groceries,5,93,0.2,CASH,Jahid Islam
88,Motijheel,2026-02-24,Potato 1kg,Groceries,10,৳842,25%,BKASH,Tanvir Hasan
89,MOTIJHEEL ,2026-01-24,Lentil (Masoor) 1kg,Groceries,3,৳990.47,0%,card,Mehedi Hasan
90,uttara,03-30-2026,Detergent 1kg,Groceries,7,185,0.25,CARD,Jahid Islam
91,chattogram,16/02/2026,Electric Kettle,Electronics,9,৳788.85,5%,cash,Mehedi Hasan
92,Chattogram,15/04/2026,Saree,Clothing,13,434.86,0.0,bkash,Jahid Islam
93,UTTArA,11/01/2026,Biscuit Pack,Groceries,1,৳834,10%,card,Rahim Uddin
94,CHATTOGRAM ,02-06-2026,Extension Cord,Electronics,9,"  ৳5,582.39 ",0.0,cash,
95,Motijheel,04-03-2026,Lungi ,Clothing,16,৳2858.36,15%,NAGAD,Farhana Akter
96,Dhanmondi ,2026-03-21,Iron,Electronics,15,  ৳891.08 ,15%,Bkash,NULL
97, gulshan ,01/01/2026,Lungi,Clothing,14, 2779.58 ,10%,bkash,Lima Khatun
98, MOtijHEel,04-18-2026,Milk Powder 500g,Groceries,12,442.88,25%,bKash,Sumaiya Sultana
99,GULSHAN ,2026-01-26,Chili Powder 200g,,15,109.90,15,bKash,Arif Chowdhury
100,DHANMONDI,24/01/2026,Potato 1kg ,Groceries,10,৳498,15%,CARD,Shafiq Ahmed
101,gULSHaN ,04-21-2026,Onion 1kg,Groceries,9,  ৳576.71 ,10%,Cash,Lima Khatun
102,dHAnmondi,01-15-2026,Tea 500g,Groceries,19,৳1270,0.05,Nagad,Farhana Akter
103,chAtToGram,12/01/2026,Flour 2kg,N/A,10,1487.78,0.25,Cash,Sabbir Rahman
104,dhanmondi,27/03/2026,Onion 1kg,Groceries,2,585,10,NAGAD,Sumaiya Sultana
105,chattogram,21/03/2026,Mustard Oil 1L,Groceries,8,1390.76,15,BKASH,Rahim Uddin
106,motijheel,2026-02-22,  T-Shirt  ,n/a,10,৳822,5%,nagad,Farhana Akter
107,Gulshan,01-27-2026,Potato 1kg,Groceries,9,৳108.86,15%,Bkash,Nusrat Jahan
108,Motijheel,01-18-2026,  T-Shirt,Clothing,11,897.43,25,CARD,Arif Chowdhury
109,MirPUr,04-23-2026,Rice 25kg,Groceries,6,৳1370,0.1,Bkash,Karim Hossain
110,MotiJheeL ,2026-04-16,  Lungi,Clothing,19,3303.12,0%,Nagad,Arif Chowdhury
111,MOTIJHEEL ,04-09-2026,Flour 2kg,Groceries,2,৳1229,0.05,nagad,Rahim Uddin
112,MIRpUR,2026-01-24,  Rice 5kg,Groceries,19,384.22,0.1,nagad,Karim Hossain
113,motijheel,14/01/2026,Mustard Oil 1L ,Groceries,18,710.65,10,Card,Sumaiya Sultana
114,Uttara,03-17-2026,Rice 5kg,Groceries,2,"৳1,407.93",15%,bKash,Sumaiya Sultana
115,uTtarA,21/03/2026,Iron,Electronics,3,"৳6,410",0.1,Card,
116,Chattogram,13/04/2026,  Electric Kettle,Electronics,9,"  ৳6,484.16 ",0.1,Nagad,Rahim Uddin
117, CHaTtogRam,01-15-2026,Potato 1kg ,Groceries,14,45.16,10,card,
118, Uttara ,2026-01-31,  Chili Powder 200g  ,Groceries,13, 1049.88 ,20,BKASH,Nusrat Jahan
119,Motijheel,07/01/2026,Tea 500g ,-,15,৳445.11,20%,BKASH,Karim Hossain
120,mOTiJhEel,02-03-2026,LED Bulb 9W,Electronics,5,4840.35,5,bkash,Lima Khatun
121,motijheel,04-21-2026,Ginger 500g,Groceries,15,৳245.71,0.1,BKASH,Mehedi Hasan
122,uttara ,2026-02-17,Turmeric 200g,Groceries,5,499.94,0.2,bKash,
123,MotIJheel,02-24-2026,Lungi,Clothing,14,"৳2,815",15,NAGAD,Farhana Akter
124,mirpur,02-20-2026,Potato 1kg,Groceries,7, 363.18 ,25%,nagad,Lima Khatun
125, motijheel,2026-01-09,Lungi,-,11,৳596.64,0.2,CASH,Arif Chowdhury
126, mirpur,2026-01-13,Biscuit Pack,Groceries,2,৳294.05,0,Bkash
127,ChaTtograM ,04-07-2026,Lungi ,N/A,17,623.54,0.25,bkash,Rahim Uddin
128, motijheel,04/02/2026,  Ginger 500g,Groceries,19,501,10%,NAGAD,Rahim Uddin
129, mirpur,30/01/2026,  Electric Kettle  ,Electronics,19,"৳6,243.54",15,nagad,Lima Khatun
130,Gulshan,04-01-2026,  Socks Pair  ,Clothing,16,490,10,CASH,Mehedi Hasan
131,MOTIJHEEL ,2026-03-09,Detergent 1kg,Groceries,4,609.14,0.15,bKash,Farhana Akter
132,DHAnmondI,01-27-2026,Rice 25kg,Groceries,19,৳437,0.25,bKash,Farhana Akter
133, motijheel,09/03/2026,Tea 500g,Groceries,5,৳904.03,0.05,Nagad,
134,MIRPUR,2026-01-18,  Electric Kettle,Electronics,6,"৳2,593.59",10%,bKash,Karim Hossain
135,cHAttogram,04/02/2026,  Iron,Electronics,12,"  ৳3,327.32 ",0.0,card,Nusrat Jahan
136,ChAttogrAm,03-21-2026,T-Shirt,Clothing,8,2903.96,10%,Card,Sabbir Rahman
137,chattOGrAm,2026-04-05,Electric Kettle,Electronics,8,৳5081,5%,bkash,Sabbir Rahman
138,mirpur,01-06-2026,Lungi,Clothing,17,"৳3,807.22",5%,CARD,Sumaiya Sultana
139,gulshan,01-30-2026,Salt 1kg,Groceries,6,৳831,20,bKash,Shafiq Ahmed
140,chattogram,03-06-2026,LED Bulb 9W,Electronics,12,৳3215.64,0.05,CASH,Nusrat Jahan
141,Gulshan,26/03/2026,Garlic 500g,Groceries,13,৳651.34,0.05,Bkash,
142, GuLshAn,2026-02-28,  T-Shirt,Clothing,19,৳1408,25%,nagad,Arif Chowdhury
143, gulshan ,03-24-2026,Soyabean Oil 1L,Groceries,5,৳975.65,0%,CASH,Shafiq Ahmed
144,guLShAn,2026-02-16,  T-Shirt  ,n/a,13,"  ৳4,184.83 ",10%,bkash,Shafiq Ahmed
145,Dhanmondi ,2026-01-17,Turmeric 200g,Groceries,2,৳143.34,25,bKash,Rahim Uddin
146,Motijheel,01-09-2026,  Lungi,Clothing,11,3584,0.0,CASH,Shafiq Ahmed
147,uttara ,01-10-2026,লবণ,Groceries,18,"  ৳1,021.01 ",5%,NAGAD,Rahim Uddin
148, motijheel,03-02-2026,LED Bulb 9W,Electronics,11,2036.20,0,bKash,Farhana Akter
149,Uttara,02-15-2026,  Ginger 500g  ,Groceries,9,574,5,Nagad,Nusrat Jahan
150,GULSHAN ,03/03/2026,Mustard Oil 1L,Groceries,19,৳301.62,5%,Card,NULL
151, Chattogram,03-21-2026,Garlic 500g,Groceries,13,773.17,0.1,nagad,Shafiq Ahmed
152,chattogram,03-30-2026,Toothpaste,Groceries,4,৳374.43,20,NAGAD,Nusrat Jahan
153,MOTIJHEEL ,04-12-2026,Panjabi,Clothing,4,৳1725,0.15,nagad,
154,Chattogram,27/03/2026,Garlic 500g,Groceries,15,508,25,CARD,
155,Gulshan,2026-03-26,Salt 1kg,Groceries,9,246.61,10%,cash,
156,Chattogram,09/01/2026,Onion 1kg,Groceries,20,"৳1,313",25,card,Mehedi Hasan
157, DHaNmoNdi ,02-11-2026,Potato 1kg,Groceries,8,136.93,0.0,CASH,Shafiq Ahmed
158,MIRPUR,03-08-2026,Potato 1kg,Groceries,2,"  ৳1,487.26 ",5,CARD,Lima Khatun
159, dHanmondi,02-12-2026,Detergent 1kg,Groceries,16,1194.74,10,BKASH,Nusrat Jahan
160,Motijheel,01-21-2026,  Milk Powder 500g,Groceries,10,৳622,15,bKash,Karim Hossain
161,GULSHAN ,02-23-2026,Shampoo 200ml,,11,"  ৳1,481.51 ",10%,Nagad,
162,UttaRa,17/03/2026,  Extension Cord,Electronics,19,৳277,5,bKash,Jahid Islam
163, GulsHan,2026-03-19,Saree,Clothing,13,৳319,25,cash,Lima Khatun
164,MOTIJHEEL ,20/01/2026,  Biscuit Pack,Groceries,17,৳930.60,5%,BKASH,Arif Chowdhury
165,MOTIJHEEL ,01-29-2026,Sugar 1kg,Groceries,16,৳994.61,0.1,CARD,Sumaiya Sultana
166, MotijhEeL,17/01/2026,  Potato 1kg,Groceries,18,৳806.21,0.1,BKASH,Shafiq Ahmed
167, GulsHan ,03/01/2026,Electric Kettle,null,13,৳1179.21,15,bKash,Mehedi Hasan
168,MoTiJhEel,11/04/2026,LED Bulb 9W,Electronics,9, 4132.23 ,5%,Bkash
169, mirpur,26/02/2026,Flour 2kg,Groceries,7,৳263.36,15,CARD,Farhana Akter
170,ChATtogram,03-26-2026,Saree,Clothing,2,1479.69,0.1,card,
171,ChATtogRAm,03-10-2026,Ginger 500g,Groceries,16, 659.98 ,5%,bKash,Nusrat Jahan
172,CHatTOGrAM,04-21-2026,Salt 1kg,Groceries,11,47.43,20,bkash,Mehedi Hasan
173,motijheel,03-29-2026,Turmeric 200g,Groceries,7,৳32.75,0.05,CARD,
174,Mirpur ,2026-03-26,Garlic 500g,Groceries,16,৳503.45,0.25,BKASH,Mehedi Hasan
175,CHATTOGRAM ,02-19-2026,Rechargeable Fan,Electronics,11,5671,0.1,CARD,Farhana Akter
176,DhaNMonDi ,04-15-2026,Ginger 500g,,12,৳728.01,20,bkash,Tanvir Hasan
177,UTTARA ,25/03/2026,LED Bulb 9W,Electronics,15,৳5250.40,0.25,nagad,Shafiq Ahmed
178,Gulshan,01-30-2026,LED Bulb 9W,Electronics,13,৳979,10,NAGAD,Lima Khatun
179, mOtiJheel,2026-02-25,Tea 500g,Groceries,10, 1377.46 ,0.2,NAGAD,Sabbir Rahman
180,gULsHan,23/03/2026,Sugar 1kg ,Groceries,15,৳1389.11,20%,nagad,Karim Hossain
181, dhAnmonDI,14/04/2026,Potato 1kg ,N/A,19,1135.38,0.1,BKASH,Rahim Uddin
182,Chattogram,04-21-2026,Lungi ,Clothing,17, 2710.96 ,0.05,Bkash,Karim Hossain
183,Uttara,28/03/2026,Panjabi,Clothing,13,"৳1,484.74",10%,bKash,Nusrat Jahan
184,dhanmondi,2026-02-15,  Milk Powder 500g  ,Groceries,18,৳993.07,15,Nagad,NULL
185,Motijheel,01-25-2026,  Rice 25kg  ,Groceries,20,428.50,25,bKash,NULL
186, mirpur,04/03/2026,  Rice 25kg,Groceries,6,227.07,10,Nagad,Shafiq Ahmed
187,chaTtoGRaM,06/02/2026,Potato 1kg,Groceries,18,৳173.77,10%,BKASH,Nusrat Jahan
188,UTtaRA ,02-11-2026,Flour 2kg,-,4,৳602.46,0.1,Nagad,Tanvir Hasan
189,DHANMONDI,2026-03-03,চিনি,Groceries,18,"৳1,336.85",10,nagad,Nusrat Jahan
190, motijheel,24/01/2026,Ginger 500g,-,12,908.22,10%,card,Karim Hossain
191, gulshan ,11/03/2026,Soyabean Oil 1L,Groceries,15,1092,0.0,NAGAD,
192,gULsHan,2026-01-19,  Ginger 500g,Groceries,4,1260,0.1,Nagad,Farhana Akter
193,DHANMONDI,2026-02-05,Rice 25kg,Groceries,8,৳772.51,10,cash,Rahim Uddin
194,CHATTOGRAM ,06/04/2026,Ginger 500g ,Groceries,1,336.13,5%,NAGAD,Karim Hossain
195,GULSHAN ,14/04/2026,Flour 2kg,-,4,903,5%,BKASH,
196,Uttara,2026-04-10,  Salt 1kg,Groceries,5,৳40.88,5,CARD,Shafiq Ahmed
197,chattogram,2026-04-11,  LED Bulb 9W,Electronics,11,"  ৳2,252.23 ",5,Card,NULL
198,dhanMoNDi,03-28-2026,Turmeric 200g ,Groceries,17,৳1083,5,CARD,Tanvir Hasan
199,Dhanmondi,2026-04-22,Flour 2kg,Groceries,2,৳317,0.2,Card,Sabbir Rahman
200,MOTIJHEEL ,03-25-2026,Soyabean Oil 1L,Groceries,10,362,0.25,cash,Farhana Akter
201,CHATTOGRAM ,2026-02-14,Milk Powder 500g,Groceries,10,৳240,10,card,Mehedi Hasan
202,uttara,15/04/2026,Mustard Oil 1L,Groceries,5,৳344,10%,NAGAD,Mehedi Hasan
203,DHANMONDI,19/04/2026,T-Shirt,N/A,4,"  ৳2,379.04 ",0.25,CARD,Sumaiya Sultana
204,Gulshan,17/02/2026,Garlic 500g,Groceries,14,1108,15%,Bkash,Sabbir Rahman
205,Gulshan,01-07-2026,LED Bulb 9W,Electronics,1,2537,0.05,bkash,Arif Chowdhury
206,uttara ,17/01/2026,Rechargeable Fan,Electronics,5,3064,0%,CASH,Jahid Islam
207,Uttara,2026-03-11,Flour 2kg,Groceries,13,454.48,0.15,Bkash,Lima Khatun
208,mIRpur,2026-02-18,Garlic 500g,Groceries,10,  ৳537.19 ,25,NAGAD,Farhana Akter
209,uttara ,03/02/2026,  Shampoo 200ml  ,Groceries,15,606.11,0.2,CASH,Sabbir Rahman
210,Gulshan,21/02/2026,Garlic 500g,Groceries,13,718.57,0.1,Cash,Rahim Uddin
211, motijheel,02/02/2026,Ginger 500g,Groceries,4,৳475.74,0.2,Cash,Shafiq Ahmed
212, uttAra ,01-23-2026,Turmeric 200g,Groceries,17,1119.98,10,bKash,Karim Hossain
213,MIRPUR,2026-02-24,  Rice 5kg  ,Groceries,5,1282,0.1,Cash,Rahim Uddin
214,gulSHan ,27/01/2026,Turmeric 200g,Groceries,19, 586.89 ,5%,cash,Karim Hossain
215,dhanmondi,2026-02-26,Lentil (Masoor) 1kg,Groceries,19,30.06,0,Nagad,Karim Hossain
216,MirPur,28/01/2026,  Saree,Clothing,14,"৳1,662",0.1,Cash,Mehedi Hasan
217,Chattogram,2026-04-12,Biscuit Pack,Groceries,9,359,0.25,CASH,Jahid Islam
218,UtTaRa,05/04/2026,Lentil (Masoor) 1kg,Groceries,10,৳528.98,0.0,card,Rahim Uddin
219, gulshan ,03-21-2026,Rice 5kg,Groceries,6,1257.31,15%,Bkash,Sumaiya Sultana
220, Chattogram,12/02/2026,T-Shirt,Clothing,16,326.35,5%,CARD,Shafiq Ahmed
221,moTIjheeL,24/02/2026,Tea 500g ,null,19,774.21,0,CARD,
222, MotijHEel,22/04/2026,Ginger 500g,Groceries,19,812.92,25,NAGAD,Rahim Uddin
223,Dhanmondi,04-01-2026,Turmeric 200g,Groceries,20,1018,0.25,bkash,NULL
224, gulshan ,15/04/2026,Flour 2kg,Groceries,2,৳32,10,cash,Mehedi Hasan
225, miRPUr,04-22-2026,  Flour 2kg,Groceries,17,1169,15,Nagad,Mehedi Hasan
226,mirpur,03-12-2026,চাল,Groceries,18,845,0.0,Nagad,Farhana Akter
227, miRpUr,01-11-2026,সাবান,Groceries,3,৳332.59,5,BKASH,Tanvir Hasan
228,DHAnmondi,04-07-2026,Chili Powder 200g,,2,৳874.95,0.0,Card,Mehedi Hasan
229,GULSHAN ,2026-01-17,Chili Powder 200g,Groceries,1,"৳1,416",5,nagad,Jahid Islam
230,MOTIJHEEL ,04/02/2026,  Chili Powder 200g,Groceries,11,৳1259,15%,cash,Nusrat Jahan
231,mOTIjHEeL,03-07-2026,Garlic 500g,Groceries,7,৳263,0.0,Bkash,Karim Hossain
232,GuLsHan,03-24-2026,Milk Powder 500g,Groceries,3,931.05,20%,Cash,NULL
233, gulshan ,03-04-2026,তেল,Groceries,9,  ৳134.86 ,25,Cash,Mehedi Hasan
234,UTTARA ,2026-02-12,Milk Powder 500g,N/A,4,"৳1,484.22",0.15,BKASH,Rahim Uddin
235,MIRPUR,02-08-2026,Soyabean Oil 1L,,4,৳258.10,0%,Bkash,Lima Khatun
236,dhanmondi,2026-02-14,Detergent 1kg,Groceries,12,৳46.86,10%,BKASH,Jahid Islam
237,chattogram,01-28-2026,Iron ,Electronics,13,"৳1,202.99",0.1,nagad,Rahim Uddin
238,uTtaRA,22/01/2026,Lungi,N/A,3,৳1788,25%,bKash,Arif Chowdhury
239,uttara,14/01/2026,Onion 1kg,Groceries,8,1122.73,15,Cash,
240,uTTaRa,01/02/2026,Milk Powder 500g,Groceries,17,"  ৳1,182.96 ",0.25,card,
241,dhanmondi,2026-02-18,LED Bulb 9W,Electronics,12,৳3991.30,0.05,bKash,
242, utTARA,21/01/2026,Milk Powder 500g,Groceries,3,345.03,0.25,bKash,Nusrat Jahan
243,Dhanmondi,2026-04-06,  Detergent 1kg,Groceries,14,৳1499.38,0.0,BKASH,Nusrat Jahan
244,uttara ,03-12-2026,লবণ,Groceries,8,1222.30,10%,CASH,Arif Chowdhury
245,DhaNmONdi,12/01/2026,Electric Kettle,Electronics,1,  ৳511.49 ,5%,CARD,Shafiq Ahmed
246,GULSHAN ,03-06-2026,Panjabi ,Clothing,17,1491.19,0.15,Nagad,Karim Hossain
247,motijheel,23/03/2026,Toothpaste,Groceries,9,৳292.75,0.05,card,NULL
248,UttarA,24/02/2026,Bath Soap,Groceries,14,1204.41,0.05,bKash,Sumaiya Sultana
249,gulshan,2026-01-27,Electric Kettle ,Electronics,13,৳2467.16,5%,NAGAD,Sabbir Rahman
250,uttaRa ,03-11-2026,  Extension Cord  ,Electronics,19, 4965.97 ,10%,CARD,Jahid Islam
251,MIRPUR,05/01/2026,Chili Powder 200g,Groceries,14,৳696.01,10,Cash,Shafiq Ahmed
252, gULSHAn,2026-02-13,Salt 1kg,Groceries,9,৳364,5%,CASH,Karim Hossain
253,MOTIJHEEL ,02-12-2026,Tea 500g,Groceries,18,৳219.35,0.05,bkash,Sumaiya Sultana
254,Mirpur,03-01-2026,Soyabean Oil 1L,n/a,7,1208,25,CARD,Mehedi Hasan
255,Dhanmondi,2026-03-06,  Rice 25kg  ,Groceries,15,৳70.58,5,Bkash,Tanvir Hasan
256,GULSHAN ,03-28-2026,Milk Powder 500g,Groceries,11,1162.70,10,CARD,Karim Hossain
257,Dhanmondi,28/02/2026,Flour 2kg ,n/a,17,৳248.10,0.25,Bkash,Karim Hossain
258,gulshan,2026-04-02,Biscuit Pack,,3,৳738.20,10,cash,Arif Chowdhury
259,Gulshan,2026-04-08,Chili Powder 200g,,4,৳76.81,0,Bkash,Jahid Islam
260, mirpur,2026-04-16,Soyabean Oil 1L ,Groceries,14,৳491.11,15,bKash,Arif Chowdhury
261,uttara,01/03/2026,Rechargeable Fan,Electronics,10,"৳6,117.59",0.2,bKash,Shafiq Ahmed
262,MOTIJHEEL ,12/04/2026,  Onion 1kg,Groceries,5, 182.83 ,15%,CASH,Sabbir Rahman
263,MIRPUR,13/02/2026,Rice 25kg,Groceries,2,"  ৳1,236.97 ",15,BKASH,Tanvir Hasan
264, Chattogram,29/01/2026,Chili Powder 200g,Groceries,19,৳545.50,0.1,CARD,NULL
